Collection	"Collection URL"	Items	"Last Month's Visit"	"This Month's Visit"	"Disk Usage"
"Allied Posters of World War I"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll9	1442	1197	1537	0.70
"Ambler Campus History in Photographs"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll19	2009	401	1145	6.36
"American Foundation for Negro Affairs (AFNA) Records"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll21	7614	50	1152	14.88
"City Parks Association Photographs"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p15037coll5	1246	441	922	19.08
"Community Newspapers"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll32	0	0	0	0.07
"Community, Philadelphia's Progressive Paper"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll10	518	404	567	5.27
"Contemporary Culture Collection Posters"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll35	0	0	0	0.00
"David Barton Smith Collection"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll20	2154	22	835	4.27
"Father Paul M. Washington Papers"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll29	34102	456	1009	51.44
"Frank G. Zahn Railroad Photograph Collection"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll26	5372	511	848	10.62
"Franklin H. Littell Papers"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p16002coll14	12327	390	515	52.12
"George D. McDowell Philadelphia Evening Bulletin Clippings"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p15037coll7	2277	432	1140	6.20
"George D. McDowell Philadelphia Evening Bulletin Photographs"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p15037coll3	79089	3967	4294	726.05
"Housing Association of the Delaware Valley Photographs"	http://server16002.contentdm.oclc.org/cdm4/admin/admin_jscripts/admin_reports_pageviews.php?CISOROOT=/p245801coll13	4611	1025	1454	39.87
